method,kl_div,seed,p,n
cslearn+pc (map),0.0118106211558864,1,5,250
cslearn+pc (map),0.1061313723182398,2,5,250
cslearn+pc (map),0.0743592849136003,3,5,250
cslearn+pc (map),0.0673680088671822,4,5,250
cslearn+pc (map),0.0455691808805982,5,5,250
cslearn+pc (map),0.101542309169232,6,5,250
cslearn+pc (map),0.1269102426604817,7,5,250
cslearn+pc (map),0.1042458328074847,8,5,250
cslearn+pc (map),0.0433335998107529,9,5,250
cslearn+pc (map),0.1138383949170332,10,5,250
cslearn+pc (mle),0.1201140975461217,1,5,250
cslearn+pc (mle),0.1076222149262642,2,5,250
cslearn+pc (mle),0.0792833214481892,3,5,250
cslearn+pc (mle),0.0675261001967246,4,5,250
cslearn+pc (mle),0.045737746704448,5,5,250
cslearn+pc (mle),0.101518363847017,6,5,250
cslearn+pc (mle),0.1635926321109323,7,5,250
cslearn+pc (mle),0.1343664301467462,8,5,250
cslearn+pc (mle),0.1242101680230889,9,5,250
cslearn+pc (mle),0.1898405265108649,10,5,250
cslearn+pc (map),0.0189146813525096,1,5,500
cslearn+pc (map),0.0294146329077961,2,5,500
cslearn+pc (map),0.0350194910415535,3,5,500
cslearn+pc (map),0.0822827592156719,4,5,500
cslearn+pc (map),0.0141476212050302,5,5,500
cslearn+pc (map),0.0137693439934376,6,5,500
cslearn+pc (map),0.0762549208265447,7,5,500
cslearn+pc (map),0.0157310530103708,8,5,500
cslearn+pc (map),0.0226863147402718,9,5,500
cslearn+pc (map),0.1157901528464633,10,5,500
cslearn+pc (mle),0.0198398877366992,1,5,500
cslearn+pc (mle),0.0301122470808614,2,5,500
cslearn+pc (mle),0.0353098198092999,3,5,500
cslearn+pc (mle),0.082586960210343,4,5,500
cslearn+pc (mle),0.0203899982050143,5,5,500
cslearn+pc (mle),0.0142038125355421,6,5,500
cslearn+pc (mle),0.1164554899009348,7,5,500
cslearn+pc (mle),0.0163962252206746,8,5,500
cslearn+pc (mle),0.0471308655862044,9,5,500
cslearn+pc (mle),0.1159764278414666,10,5,500
cslearn+pc (map),0.0053553131807533,1,5,1000
cslearn+pc (map),0.0309659403037147,2,5,1000
cslearn+pc (map),0.0257641412494978,3,5,1000
cslearn+pc (map),0.0524237483590445,4,5,1000
cslearn+pc (map),0.0022394826833135,5,5,1000
cslearn+pc (map),0.0378797707677002,6,5,1000
cslearn+pc (map),0.080153005341643,7,5,1000
cslearn+pc (map),0.0101556377268681,8,5,1000
cslearn+pc (map),0.0284420908776364,9,5,1000
cslearn+pc (map),0.1156901693925779,10,5,1000
cslearn+pc (mle),0.006280777889121,1,5,1000
cslearn+pc (mle),0.0312274497958329,2,5,1000
cslearn+pc (mle),0.0259295200157443,3,5,1000
cslearn+pc (mle),0.0524346342123022,4,5,1000
cslearn+pc (mle),0.0089760869166676,5,5,1000
cslearn+pc (mle),0.0379511179806948,6,5,1000
cslearn+pc (mle),0.0802576599670762,7,5,1000
cslearn+pc (mle),0.0104436391317102,8,5,1000
cslearn+pc (mle),0.0284184658468062,9,5,1000
cslearn+pc (mle),0.1158645432470835,10,5,1000
cslearn+pc (map),0.0034482762458274,1,5,10000
cslearn+pc (map),0.0426219264642314,2,5,10000
cslearn+pc (map),0.0088952599941393,3,5,10000
cslearn+pc (map),0.0277517404743137,4,5,10000
cslearn+pc (map),0.0036926946393246,5,5,10000
cslearn+pc (map),0.0029469680312199,6,5,10000
