method,kl_div,seed,p,n
cslearn+grasp (mle),0.0767042696511987,1,5,250
cslearn+grasp (mle),0.114828015543981,2,5,250
cslearn+grasp (mle),0.0883616102040386,3,5,250
cslearn+grasp (mle),0.1584485790171342,4,5,250
cslearn+grasp (mle),0.0690035082918456,5,5,250
cslearn+grasp (mle),0.032678310294007,6,5,250
cslearn+grasp (mle),0.2017226654659807,7,5,250
cslearn+grasp (mle),0.0726091486111175,8,5,250
cslearn+grasp (mle),0.1084794319442636,9,5,250
cslearn+grasp (mle),0.147726772962238,10,5,250
cslearn+grasp (map),0.0351013910170841,1,5,250
cslearn+grasp (map),0.1130556810470779,2,5,250
cslearn+grasp (map),0.0835595383704262,3,5,250
cslearn+grasp (map),0.1583457837043623,4,5,250
cslearn+grasp (map),0.0688490858926643,5,5,250
cslearn+grasp (map),0.0324472455475989,6,5,250
cslearn+grasp (map),0.0207432395258892,7,5,250
cslearn+grasp (map),0.038980691491278,8,5,250
cslearn+grasp (map),0.0121173114545005,9,5,250
cslearn+grasp (map),0.0699723887997033,10,5,250
cslearn+grasp (mle),0.0269301802997171,1,5,500
cslearn+grasp (mle),0.0879331821049124,2,5,500
cslearn+grasp (mle),0.031141822335471,3,5,500
cslearn+grasp (mle),0.0882489103176574,4,5,500
cslearn+grasp (mle),0.0693039075969705,5,5,500
cslearn+grasp (mle),0.0556224991195173,6,5,500
cslearn+grasp (mle),0.037614488991412,7,5,500
cslearn+grasp (mle),0.0501955410461644,8,5,500
cslearn+grasp (mle),0.0292480245025221,9,5,500
cslearn+grasp (mle),0.0506776782324386,10,5,500
cslearn+grasp (map),0.0262598399517551,1,5,500
cslearn+grasp (map),0.0870310753942323,2,5,500
cslearn+grasp (map),0.0308533769469762,3,5,500
cslearn+grasp (map),0.0883275516115101,4,5,500
cslearn+grasp (map),0.0689654324831516,5,5,500
cslearn+grasp (map),0.0551762649060989,6,5,500
cslearn+grasp (map),0.0013375603966596,7,5,500
cslearn+grasp (map),0.0494254568169824,8,5,500
cslearn+grasp (map),0.0285737965369482,9,5,500
cslearn+grasp (map),0.0504927617769412,10,5,500
cslearn+grasp (mle),0.006280777889121,1,5,1000
cslearn+grasp (mle),0.0103434730610043,2,5,1000
cslearn+grasp (mle),0.0166543356632171,3,5,1000
cslearn+grasp (mle),0.0361953699847993,4,5,1000
cslearn+grasp (mle),0.0189083918525412,5,5,1000
cslearn+grasp (mle),0.0099364672232799,6,5,1000
cslearn+grasp (mle),0.0062709287440472,7,5,1000
cslearn+grasp (mle),0.0104436391317103,8,5,1000
cslearn+grasp (mle),0.0059981338657711,9,5,1000
cslearn+grasp (mle),0.0097160343613585,10,5,1000
cslearn+grasp (map),0.0051345403937227,1,5,1000
cslearn+grasp (map),0.0101564413737212,2,5,1000
cslearn+grasp (map),0.0164850829332242,3,5,1000
cslearn+grasp (map),0.0335710269017509,4,5,1000
cslearn+grasp (map),0.0188531045232676,5,5,1000
cslearn+grasp (map),0.009863597398445,6,5,1000
cslearn+grasp (map),0.0062336205962325,7,5,1000
cslearn+grasp (map),0.0101556377268682,8,5,1000
cslearn+grasp (map),0.006025648554873,9,5,1000
cslearn+grasp (map),0.0096159820285286,10,5,1000
cslearn+grasp (mle),0.003458338945419,1,5,10000
cslearn+grasp (mle),0.0026590539758911,2,5,10000
cslearn+grasp (mle),0.0034052341500653,3,5,10000
cslearn+grasp (mle),0.0012764543039838,4,5,10000
cslearn+grasp (mle),0.0155181388955611,5,5,10000
cslearn+grasp (mle),0.0027848413156511,6,5,10000
cslearn+grasp (mle),0.0012202283409412,7,5,10000
cslearn+grasp (mle),0.0016697346474985,8,5,10000
cslearn+grasp (mle),0.0024630429729177,9,5,10000
cslearn+grasp (mle),0.0007774479225489,10,5,10000
cslearn+grasp (map),0.0034482762458275,1,5,10000
cslearn+grasp (map),0.0026598029381203,2,5,10000
cslearn+grasp (map),0.0034016848548125,3,5,10000
cslearn+grasp (map),0.0012594156989595,4,5,10000
cslearn+grasp (map),0.0155152404236086,5,5,10000
cslearn+grasp (map),0.0027842111196419,6,5,10000
cslearn+grasp (map),0.0012200536471224,7,5,10000
cslearn+grasp (map),0.0016714989703048,8,5,10000
cslearn+grasp (map),0.0024645411269715,9,5,10000
cslearn+grasp (map),0.0007753877554722,10,5,10000
cslearn+grasp (mle),0.1081956048012128,1,7,250
cslearn+grasp (mle),0.1334345753870149,2,7,250
cslearn+grasp (mle),0.1777418122732036,3,7,250
cslearn+grasp (mle),0.2264363556052442,4,7,250
cslearn+grasp (mle),0.052153123838261,5,7,250
cslearn+grasp (mle),0.1876729516136611,6,7,250
cslearn+grasp (mle),0.1817926326460165,7,7,250
cslearn+grasp (mle),0.1940185167105363,8,7,250
cslearn+grasp (mle),0.1901047378080509,9,7,250
cslearn+grasp (mle),0.2747487961183881,10,7,250
cslearn+grasp (map),0.1073035449489568,1,7,250
cslearn+grasp (map),0.133888475377107,2,7,250
cslearn+grasp (map),0.1769915641657415,3,7,250
cslearn+grasp (map),0.2257517702000261,4,7,250
cslearn+grasp (map),0.036964308528908,5,7,250
cslearn+grasp (map),0.1599844108549153,6,7,250
cslearn+grasp (map),0.1815556406767144,7,7,250
cslearn+grasp (map),0.1935423608973665,8,7,250
cslearn+grasp (map),0.1394705308297727,9,7,250
cslearn+grasp (map),0.2523315697093025,10,7,250
cslearn+grasp (mle),0.0144542093240682,1,7,500
cslearn+grasp (mle),0.0788115985064356,2,7,500
cslearn+grasp (mle),0.1164195748313677,3,7,500
cslearn+grasp (mle),0.0704976572055249,4,7,500
cslearn+grasp (mle),0.0451397697787269,5,7,500
cslearn+grasp (mle),0.1339954768233738,6,7,500
cslearn+grasp (mle),0.1159904014736828,7,7,500
cslearn+grasp (mle),0.0385758129128127,8,7,500
cslearn+grasp (mle),0.1923035330782842,9,7,500
cslearn+grasp (mle),0.1337892190818625,10,7,500
cslearn+grasp (map),0.0123844396554602,1,7,500
cslearn+grasp (map),0.0789235019699684,2,7,500
cslearn+grasp (map),0.1163979451794287,3,7,500
cslearn+grasp (map),0.0701662533223501,4,7,500
cslearn+grasp (map),0.0303287411690205,5,7,500
cslearn+grasp (map),0.1068442561913232,6,7,500
cslearn+grasp (map),0.1159504706076886,7,7,500
cslearn+grasp (map),0.0018523642269769,8,7,500
cslearn+grasp (map),0.1421804292951305,9,7,500
cslearn+grasp (map),0.1109993169308358,10,7,500
cslearn+grasp (mle),0.0158183350819,1,7,1000
cslearn+grasp (mle),0.0273278438519024,2,7,1000
cslearn+grasp (mle),0.0687765866353879,3,7,1000
cslearn+grasp (mle),0.0268719787214629,4,7,1000
cslearn+grasp (mle),0.0193296346470171,5,7,1000
cslearn+grasp (mle),0.0308784561150299,6,7,1000
cslearn+grasp (mle),0.0358623410107182,7,7,1000
cslearn+grasp (mle),0.0532980553900929,8,7,1000
cslearn+grasp (mle),0.0738329046539793,9,7,1000
cslearn+grasp (mle),0.0505802883651141,10,7,1000
cslearn+grasp (map),0.0158562393608173,1,7,1000
cslearn+grasp (map),0.0274341456873389,2,7,1000
cslearn+grasp (map),0.0688465585628901,3,7,1000
cslearn+grasp (map),0.0147944197134445,4,7,1000
cslearn+grasp (map),0.0192116249430908,5,7,1000
cslearn+grasp (map),0.0307156411474266,6,7,1000
cslearn+grasp (map),0.0357926956818002,7,7,1000
cslearn+grasp (map),0.0532991464528612,8,7,1000
cslearn+grasp (map),0.0732279200026887,9,7,1000
cslearn+grasp (map),0.0504434945640292,10,7,1000
cslearn+grasp (mle),0.0019656643099333,1,7,10000
cslearn+grasp (mle),0.0034174207071084,2,7,10000
cslearn+grasp (mle),0.025226796247219,3,7,10000
cslearn+grasp (mle),0.012880795746133,4,7,10000
cslearn+grasp (mle),0.0044201429675162,5,7,10000
cslearn+grasp (mle),0.0028740974984006,6,7,10000
cslearn+grasp (mle),0.043765883668264,7,7,10000
cslearn+grasp (mle),0.002517200338857,8,7,10000
cslearn+grasp (mle),0.0016865304258092,9,7,10000
cslearn+grasp (mle),0.0037713638430547,10,7,10000
cslearn+grasp (map),0.0019775785778203,1,7,10000
cslearn+grasp (map),0.0034257206312488,2,7,10000
cslearn+grasp (map),0.0252278350782062,3,7,10000
