method,kl_div,seed,p,n
grasp (mle),0.0003895591213667,1,5,10000
grasp (mle),0.0031586250906648,2,5,10000
grasp (mle),0.0025729776807746,3,5,10000
grasp (mle),0.0016023959582468,4,5,10000
grasp (mle),0.0003357742712301,5,5,10000
grasp (mle),0.0024463856040534,6,5,10000
grasp (mle),0.0006383645175486,7,5,10000
grasp (mle),0.0008592138769358,8,5,10000
grasp (mle),0.0003866179170734,9,5,10000
grasp (mle),0.0015178334545535,10,5,10000
grasp (mle),0.0086470801058228,1,7,10000
grasp (mle),0.0029715239892733,2,7,10000
grasp (mle),0.0061752701810358,3,7,10000
grasp (mle),0.0051653089981469,4,7,10000
grasp (mle),0.002180491716639,5,7,10000
grasp (mle),0.004042458844825,6,7,10000
grasp (mle),0.0012932655868487,7,7,10000
grasp (mle),0.0031495713834998,8,7,10000
grasp (mle),0.0014089975461665,9,7,10000
grasp (mle),0.0047028581844223,10,7,10000
grasp (mle),0.0030734093504506,1,10,10000
grasp (mle),0.0089449493769022,2,10,10000
grasp (mle),0.0081515074088666,3,10,10000
grasp (mle),0.0051022073847404,4,10,10000
grasp (mle),0.0117989012567566,5,10,10000
grasp (mle),0.0054703811160593,6,10,10000
grasp (mle),0.0040862436296931,7,10,10000
grasp (mle),0.0049853397234561,8,10,10000
grasp (mle),0.0040969780822353,9,10,10000
grasp (mle),0.0028479154500223,10,10,10000
grasp (mle),9.178600857155962,1,15,10000
grasp (mle),7.382882743578171,2,15,10000
grasp (mle),4.033198771833791,3,15,10000
grasp (mle),7.607625530155966,4,15,10000
grasp (mle),8.688804720592508,5,15,10000
grasp (mle),6.2711467150507385,6,15,10000
grasp (mle),5.847913517472279,7,15,10000
grasp (mle),5.814654047461049,8,15,10000
grasp (mle),5.853431210382087,9,15,10000
grasp (mle),7.595003658081588,10,15,10000
grasp (mle),12.013474534836735,1,20,10000
grasp (mle),9.900532433297125,2,20,10000
grasp (mle),7.024411390690892,3,20,10000
grasp (mle),11.932861055702324,4,20,10000
grasp (mle),9.569626258446624,5,20,10000
grasp (mle),8.703002559197875,6,20,10000
grasp (mle),9.921983055438352,7,20,10000
grasp (mle),7.983449269104946,8,20,10000
