method,time,total_time,seed,p,n
CSlearn+PC,0.0313620119995903,1.0158585099998163,1,5,251
CSlearn+PC,0.0267287440001382,1.3330988210000214,2,5,251
CSlearn+PC,0.0545811629999661,1.696078494998801,3,5,251
CSlearn+PC,0.0750161330006449,1.5317485989999111,4,5,251
CSlearn+PC,0.1074143599998933,1.6571927609998056,5,5,251
CSlearn+PC,0.0270696399966254,0.7732615310000028,6,5,251
CSlearn+PC,0.0311831290000554,1.5054197159997784,7,5,251
CSlearn+PC,0.0468680959999971,1.3866970130000027,8,5,251
CSlearn+PC,0.0295131840000522,0.7824099559993556,9,5,251
CSlearn+PC,0.1211930179999853,1.5487385440001162,10,5,251
CSlearn+PC,0.1066437709996535,1.0301353340037167,1,5,1001
CSlearn+PC,0.0416988789984316,1.4598691489954945,2,5,1001
CSlearn+PC,0.0625624330000391,1.486962295000012,3,5,1001
CSlearn+PC,0.0392398710000634,1.6924022409993995,4,5,1001
CSlearn+PC,0.0905615150000187,1.5679946220000147,5,5,1001
CSlearn+PC,0.0468082879999656,0.9833717559999968,6,5,1001
CSlearn+PC,0.0569047939998199,0.91577915400012,7,5,1001
CSlearn+PC,0.0413508269994054,4.265466949999791,8,5,1001
CSlearn+PC,0.0731094850007139,0.8887664129997574,9,5,1001
CSlearn+PC,0.0510520989998894,1.705828152999857,10,5,1001
CSlearn+PC,0.0404577249973954,1.5508805029967334,1,7,251
CSlearn+PC,0.0355078499997034,0.8746374449983705,2,7,251
CSlearn+PC,0.0920944930003315,0.9612621480000598,3,7,251
CSlearn+PC,0.1189056179999852,2.243889520999801,4,7,251
CSlearn+PC,0.0865415549999397,1.616658771000175,5,7,251
CSlearn+PC,0.125857378996443,1.575521335000019,6,7,251
CSlearn+PC,0.0604233730000487,1.7290106219998052,7,7,251
CSlearn+PC,0.0640053070019348,1.6870717290003086,8,7,251
CSlearn+PC,0.1393724959998508,1.4452166159999251,9,7,251
CSlearn+PC,0.0757780220000086,1.7554313900000125,10,7,251
CSlearn+PC,0.0673615570012771,1.2025979489990275,1,7,1001
CSlearn+PC,0.0590181389998178,1.5490221560030475,2,7,1001
CSlearn+PC,0.106297700003779,1.3113569670022116,3,7,1001
CSlearn+PC,0.2307011520001651,1.671952345000136,4,7,1001
CSlearn+PC,0.0819700399999874,1.7137619139994058,5,7,1001
CSlearn+PC,0.1216821100001652,1.6321047710000585,6,7,1001
CSlearn+PC,0.0972624779969919,1.6847188300002929,7,7,1001
CSlearn+PC,0.0613326810000103,1.0895110359997489,8,7,1001
CSlearn+PC,0.0674535489997651,1.0318471810001029,9,7,1001
CSlearn+PC,0.1056937230000585,1.7670320849997552,10,7,1001
CSlearn+PC,0.1294427879984141,1.529839565002476,1,10,251
CSlearn+PC,0.080297435997636,1.3542750980050189,2,10,251
CSlearn+PC,0.2285848760002409,2.229223464000029,3,10,251
CSlearn+PC,0.3122257420000096,1.7291118379998809,4,10,251
CSlearn+PC,0.1437652160000198,2.276979309999888,5,10,251
CSlearn+PC,0.2541605939986766,1.0956699780000037,6,10,251
CSlearn+PC,0.1180359979998684,2.757996875000572,7,10,251
CSlearn+PC,0.0920811140022124,1.450301606000039,8,10,251
CSlearn+PC,0.0807597620005253,1.7575424620008562,9,10,251
CSlearn+PC,0.1055818510001245,1.1764818659999037,10,10,251
CSlearn+PC,0.133362668002519,1.9053526889983916,1,10,1001
CSlearn+PC,0.1721884350008622,1.906640471999708,2,10,1001
CSlearn+PC,0.3776096129995494,1.6488114300000234,3,10,1001
CSlearn+PC,0.2932485020000968,1.7515120870002647,4,10,1001
CSlearn+PC,0.2836614650000228,2.272853384999962,5,10,1001
CSlearn+PC,0.2403954610000198,2.14264332699986,6,10,1001
CSlearn+PC,0.3813293189996329,1.7518210880007246,7,10,1001
CSlearn+PC,0.1304450960014946,3.260361210006522,8,10,1001
CSlearn+PC,0.1238566219999484,2.169989151000209,9,10,1001
CSlearn+PC,0.2100372790009714,1.97199670100008,10,10,1001
CSlearn+PC,0.241828545997123,1.7213054050007486,1,15,251
CSlearn+PC,0.2233034519995271,1.6585164110001642,2,15,251
CSlearn+PC,0.3317253210043418,4.583957937000378,3,15,251
CSlearn+PC,0.3162818440000592,2.1905081869999776,4,15,251
CSlearn+PC,0.2186289659999829,2.556422659999953,5,15,251
CSlearn+PC,0.2667905509999855,1.8711615140000504,6,15,251
CSlearn+PC,0.3395504200000232,3.412516229000176,7,15,251
CSlearn+PC,0.1179892259970074,1.6275171140000566,8,15,251
CSlearn+PC,0.3031749480001053,2.7970722079999177,9,15,251
CSlearn+PC,0.1429543300000659,3.1326533619994734,10,15,251
CSlearn+PC,0.5579514850032865,2.171841723000398,1,15,1001
CSlearn+PC,0.7924162970011821,2.125037602003431,2,15,1001
CSlearn+PC,0.3345583450000049,2.4320848329998626,3,15,1001
CSlearn+PC,0.4483886850002818,2.86409895900033,4,15,1001
CSlearn+PC,0.3662794280025991,3.423726640000041,5,15,1001
CSlearn+PC,1.2624015490000602,3.708720612000434,6,15,1001
CSlearn+PC,0.3226750229950994,2.8553611359966453,7,15,1001
CSlearn+PC,0.2635809359999257,3.1983108360000188,8,15,1001
CSlearn+PC,0.2980334230001062,3.090376784,9,15,1001
CSlearn+PC,0.331151403000149,2.9317903639994256,10,15,1001
CSlearn+PC,0.3157881020451896,2.308205187960993,1,20,251
CSlearn+PC,0.3856292130076326,2.1542317099520005,2,20,251
CSlearn+PC,0.3900923880282789,2.0760363680310547,3,20,251
CSlearn+PC,0.3279611769830808,2.263741504983045,4,20,251
CSlearn+PC,0.4104197280248627,2.29971149697667,5,20,251
CSlearn+PC,0.5921851729508489,2.3201143839978613,6,20,251
CSlearn+PC,0.3522474999772385,2.418561522033997,7,20,251
CSlearn+PC,0.2982471679570153,2.261683990014717,8,20,251
CSlearn+PC,0.2509415300446562,2.1888286269968376,9,20,251
CSlearn+PC,0.3579955149907619,1.982247504987754,10,20,251
CSlearn+PC,0.7201012090081349,2.337630052003078,1,20,1001
CSlearn+PC,0.6279438259662129,2.2923193880124018,2,20,1001
CSlearn+PC,0.7891431910102256,2.625170987041201,3,20,1001
CSlearn+PC,0.6959534449852072,2.361722544010263,4,20,1001
CSlearn+PC,0.6444075080216862,2.2178970320383087,5,20,1001
CSlearn+PC,1.811217407986988,3.4446150370058604,6,20,1001
CSlearn+PC,0.6099679939798079,2.282481000991538,7,20,1001
CSlearn+PC,0.4989118700032122,2.263206942996476,8,20,1001
CSlearn+PC,0.3960654549882747,2.340599216055125,9,20,1001
CSlearn+PC,0.4983266140334308,2.1086356550222263,10,20,1001
CSlearn+GRaSP,0.3038214309999603,0.5768273979992955,1,5,251
CSlearn+GRaSP,0.3225733449980907,1.3492480640052236,2,5,251
CSlearn+GRaSP,0.4130679599984432,1.6100279300003422,3,5,251
CSlearn+GRaSP,0.1705806099998881,1.380348767000214,4,5,251
CSlearn+GRaSP,0.3630802200000289,1.4956715099997382,5,5,251
CSlearn+GRaSP,0.354010938999977,1.3686389779999786,6,5,251
CSlearn+GRaSP,0.1449527329996272,1.0305795359990952,7,5,251
CSlearn+GRaSP,0.132281588994374,1.980960623999863,8,5,251
CSlearn+GRaSP,0.122625805000041,0.6821486959997856,9,5,251
CSlearn+GRaSP,0.6200271130001056,1.1372219199984102,10,5,251
CSlearn+GRaSP,0.436209683000925,1.1090315490000648,1,5,1001
CSlearn+GRaSP,0.3652817510010209,0.5518189030044596,2,5,1001
CSlearn+GRaSP,0.3107913060002829,1.616974597999615,3,5,1001
CSlearn+GRaSP,0.2264079970000239,0.9714496830001736,4,5,1001
CSlearn+GRaSP,0.5064317960000153,0.7197071159998814,5,5,1001
CSlearn+GRaSP,0.3916955629999989,1.299388270999998,6,5,1001
CSlearn+GRaSP,0.1631612270002733,1.6011409709999498,7,5,1001
CSlearn+GRaSP,0.1315829599989229,1.241010796999035,8,5,1001
CSlearn+GRaSP,0.2976886110000123,1.3977337020005507,9,5,1001
CSlearn+GRaSP,0.6479451180000524,0.7393902679998519,10,5,1001
CSlearn+GRaSP,0.7018095130006259,1.5742151329977787,1,7,251
CSlearn+GRaSP,0.6452019520002068,1.1591851999983191,2,7,251
CSlearn+GRaSP,0.5380088850001812,1.3143858939993152,3,7,251
CSlearn+GRaSP,0.7647828679999975,1.9599939320000883,4,7,251
CSlearn+GRaSP,1.0750121749999837,1.1130811059999814,5,7,251
CSlearn+GRaSP,1.0973538320031366,4.251017129000047,6,7,251
CSlearn+GRaSP,1.4987221870001122,1.868849825000325,7,7,251
CSlearn+GRaSP,0.9166476079999484,1.7648501869998654,8,7,251
CSlearn+GRaSP,0.7164085699999987,1.7260288979996403,9,7,251
CSlearn+GRaSP,1.033610226999997,1.6035970180000731,10,7,251
CSlearn+GRaSP,1.646440784999868,1.257015921000857,1,7,1001
CSlearn+GRaSP,0.9543526480010768,1.5730860640032915,2,7,1001
CSlearn+GRaSP,0.9759755770000992,0.908118666000064,3,7,1001
CSlearn+GRaSP,1.6901122589999886,1.3843013770001562,4,7,1001
CSlearn+GRaSP,1.126729967000074,0.8743808079998416,5,7,1001
CSlearn+GRaSP,1.7178622900000846,1.905551731000287,6,7,1001
CSlearn+GRaSP,5.116228407000108,1.5832254699998884,7,7,1001
CSlearn+GRaSP,0.7648202600000218,1.4311259829999583,8,7,1001
CSlearn+GRaSP,1.2533107059998656,1.9054816890002255,9,7,1001
CSlearn+GRaSP,1.7291807619999418,1.99090198399972,10,7,1001
CSlearn+GRaSP,3.3778269210015424,1.862087043002248,1,10,251
CSlearn+GRaSP,1.5758615650011052,1.308147203002591,2,10,251
CSlearn+GRaSP,1.493021078997117,1.1465735919999815,3,10,251
CSlearn+GRaSP,2.183837598000082,1.216866427000241,4,10,251
CSlearn+GRaSP,3.62625515000002,2.661142753000149,5,10,251
CSlearn+GRaSP,2.312895615000002,1.498247300999992,6,10,251
CSlearn+GRaSP,3.0322374950001176,2.222505009000088,7,10,251
CSlearn+GRaSP,4.336690705000024,1.1090023470000006,8,10,251
CSlearn+GRaSP,2.0967676770014805,2.199533546998282,9,10,251
CSlearn+GRaSP,1.9144504780001623,2.111043822999818,10,10,251
CSlearn+GRaSP,3.46048932100166,1.3752245220020995,1,10,1001
CSlearn+GRaSP,2.6831075430018245,0.7859368669960531,2,10,1001
CSlearn+GRaSP,3.3672841909999534,1.2517437919998429,3,10,1001
CSlearn+GRaSP,5.512286570000015,1.5744919929993555,4,10,1001
CSlearn+GRaSP,4.466726999000002,1.5070257819998003,5,10,1001
CSlearn+GRaSP,5.387806485000056,1.314870737000092,6,10,1001
CSlearn+GRaSP,9.587843713999971,2.1751237180001226,7,10,1001
CSlearn+GRaSP,2.5619955900001514,2.0809100690003106,8,10,1001
CSlearn+GRaSP,1.8592273520000049,2.4114046239999998,9,10,1001
CSlearn+GRaSP,4.951191703003133,2.1343083739993745,10,10,1001
CSlearn+GRaSP,7.871699831001024,1.8843002770008752,1,15,251
CSlearn+GRaSP,3.7098728609998943,1.9131720880031933,2,15,251
CSlearn+GRaSP,3.8137781070036,2.165405964999991,3,15,251
CSlearn+GRaSP,4.453407416999994,2.653168115000028,4,15,251
CSlearn+GRaSP,6.016358556999876,3.162040751000177,5,15,251
CSlearn+GRaSP,8.473193892998097,2.93338114900007,6,15,251
CSlearn+GRaSP,6.725051129999997,2.687722381000185,7,15,251
CSlearn+GRaSP,2.762853512998845,2.4013670630010893,8,15,251
CSlearn+GRaSP,6.493075532000148,1.2658735380000508,9,15,251
CSlearn+GRaSP,2.38821311799984,1.8506319369998887,10,15,251
CSlearn+GRaSP,16.685099818998424,1.8666878580042976,1,15,1001
CSlearn+GRaSP,12.884378768998433,2.8412257119998685,2,15,1001
CSlearn+GRaSP,13.742928407999898,1.9032789470002167,3,15,1001
CSlearn+GRaSP,28.660047864000266,2.906690181000158,4,15,1001
CSlearn+GRaSP,23.402065439000125,5.688623470000039,5,15,1001
CSlearn+GRaSP,22.80808800800014,2.182038172999455,6,15,1001
CSlearn+GRaSP,19.309813221996592,3.119180468999957,7,15,1001
CSlearn+GRaSP,11.655267437003204,2.704209391999939,8,15,1001
CSlearn+GRaSP,11.91430722699988,2.4647061949999625,9,15,1001
CSlearn+GRaSP,7.788460628999928,0.831228793000264,10,15,1001
CSlearn+GRaSP,7.374065265001263,2.4109447009977885,1,20,251
CSlearn+GRaSP,4.605597576999571,2.0615257220342755,2,20,251
CSlearn+GRaSP,7.371499333996326,2.043403109011706,3,20,251
CSlearn+GRaSP,11.701183710014448,2.158686738985125,4,20,251
CSlearn+GRaSP,7.160932999977376,2.206686277000699,5,20,251
CSlearn+GRaSP,8.062501062988304,2.144496318011079,6,20,251
CSlearn+GRaSP,7.934410426998511,1.9808598259696737,7,20,251
CSlearn+GRaSP,6.712124166020658,2.0824965829961,8,20,251
CSlearn+GRaSP,5.450785672990605,2.113966475008056,9,20,251
CSlearn+GRaSP,13.256455358001404,2.2080461690202355,10,20,251
CSlearn+GRaSP,37.33236315101385,2.15257147300872,1,20,1001
