method,kl_div,seed,p,n,true_max_cvar
cslearn+grasp (mle),0.0735183911701276,1,5,250,2
cslearn+grasp (mle),0.0440920717440248,2,5,250,2
cslearn+grasp (mle),0.0541498782442701,3,5,250,2
cslearn+grasp (mle),0.0590147372825456,4,5,250,2
cslearn+grasp (mle),0.0448665229677448,5,5,250,2
cslearn+grasp (mle),0.0315960707861439,6,5,250,2
cslearn+grasp (mle),0.0672256103615232,7,5,250,2
cslearn+grasp (mle),0.0343117583612676,8,5,250,2
cslearn+grasp (mle),0.0250077725221705,9,5,250,2
cslearn+grasp (mle),0.0520243956569202,10,5,250,2
cslearn+grasp (mle),0.0136301618335169,1,5,1000,2
cslearn+grasp (mle),0.0092860292854651,2,5,1000,2
cslearn+grasp (mle),0.0450214570202852,3,5,1000,2
cslearn+grasp (mle),0.0572156437237205,4,5,1000,2
cslearn+grasp (mle),0.003510991038398,5,5,1000,2
cslearn+grasp (mle),0.0071420422406204,6,5,1000,2
cslearn+grasp (mle),0.0353491377940509,7,5,1000,2
cslearn+grasp (mle),0.0154020024215298,8,5,1000,2
cslearn+grasp (mle),0.0153132646818186,9,5,1000,2
cslearn+grasp (mle),0.0115470498538655,10,5,1000,2
cslearn+grasp (mle),0.1182655651126124,1,7,250,2
cslearn+grasp (mle),0.0352227981913387,2,7,250,2
cslearn+grasp (mle),0.162057434470096,3,7,250,2
cslearn+grasp (mle),0.1427040492035932,4,7,250,2
cslearn+grasp (mle),0.1195624643113931,5,7,250,2
cslearn+grasp (mle),0.0732460856136097,6,7,250,2
cslearn+grasp (mle),0.1208551205090001,7,7,250,2
cslearn+grasp (mle),0.1157734548010457,8,7,250,2
cslearn+grasp (mle),0.1095008561453471,9,7,250,2
cslearn+grasp (mle),0.0516795874839192,10,7,250,2
cslearn+grasp (mle),0.0597656632062856,1,7,1000,2
cslearn+grasp (mle),0.0283463789478595,2,7,1000,2
cslearn+grasp (mle),0.0762218143635396,3,7,1000,2
cslearn+grasp (mle),0.0508315885860294,4,7,1000,2
cslearn+grasp (mle),0.0280408520077267,5,7,1000,2
cslearn+grasp (mle),0.022098279456745,6,7,1000,2
cslearn+grasp (mle),0.0313215740767484,7,7,1000,2
cslearn+grasp (mle),0.014500017387136,8,7,1000,2
cslearn+grasp (mle),0.0197958293030737,9,7,1000,2
cslearn+grasp (mle),0.0208885738830281,10,7,1000,2
cslearn+grasp (mle),0.1721286533183908,1,10,250,2
cslearn+grasp (mle),0.096165477560234,2,10,250,2
cslearn+grasp (mle),0.2323487326356002,3,10,250,2
cslearn+grasp (mle),0.1559881566938592,4,10,250,2
cslearn+grasp (mle),0.2287216382870874,5,10,250,2
cslearn+grasp (mle),0.2605196223720925,6,10,250,2
cslearn+grasp (mle),0.1650089920517676,7,10,250,2
cslearn+grasp (mle),0.1270543294289167,8,10,250,2
cslearn+grasp (mle),0.1133233087421583,9,10,250,2
cslearn+grasp (mle),0.1570513691895596,10,10,250,2
cslearn+grasp (mle),0.0690187338492801,1,10,1000,2
cslearn+grasp (mle),0.0514900775633742,2,10,1000,2
cslearn+grasp (mle),0.0719865610896715,3,10,1000,2
cslearn+grasp (mle),0.1306789694875736,4,10,1000,2
cslearn+grasp (mle),0.0513229150429959,5,10,1000,2
cslearn+grasp (mle),0.0415065822863343,6,10,1000,2
cslearn+grasp (mle),0.0474984436196934,7,10,1000,2
cslearn+grasp (mle),0.0978524356162197,8,10,1000,2
cslearn+grasp (mle),0.0381213738027893,9,10,1000,2
cslearn+grasp (mle),0.0576157840000607,10,10,1000,2
cslearn+grasp (mle),0.4129669575324312,1,15,250,2
cslearn+grasp (mle),0.3956287086157767,2,15,250,2
cslearn+grasp (mle),0.3135584119727607,3,15,250,2
cslearn+grasp (mle),0.4231822047568704,4,15,250,2
cslearn+grasp (mle),0.6254215422879872,5,15,250,2
cslearn+grasp (mle),0.2679561950844126,6,15,250,2
cslearn+grasp (mle),0.3559822131075615,7,15,250,2
cslearn+grasp (mle),0.2848896374385493,8,15,250,2
cslearn+grasp (mle),0.2463063354019282,9,15,250,2
cslearn+grasp (mle),0.3530307364813488,10,15,250,2
cslearn+grasp (mle),0.1119606190417074,1,15,1000,2
cslearn+grasp (mle),0.1312869758632463,2,15,1000,2
cslearn+grasp (mle),0.0882604535276666,3,15,1000,2
cslearn+grasp (mle),0.1220119847466604,4,15,1000,2
cslearn+grasp (mle),0.0537574507513771,5,15,1000,2
cslearn+grasp (mle),0.0823966211965533,6,15,1000,2
cslearn+grasp (mle),0.1055937496524054,7,15,1000,2
cslearn+grasp (mle),0.0912704471506818,8,15,1000,2
cslearn+grasp (mle),0.0609142910040395,9,15,1000,2
cslearn+grasp (mle),0.0631667314266677,10,15,1000,2
cslearn+grasp (mle),0.0788109488423096,1,5,250,3
cslearn+grasp (mle),0.0911723211673367,2,5,250,3
cslearn+grasp (mle),0.1625493079273621,3,5,250,3
cslearn+grasp (mle),0.0384521435535051,4,5,250,3
cslearn+grasp (mle),0.0169422700188051,5,5,250,3
cslearn+grasp (mle),0.1124752434765782,6,5,250,3
cslearn+grasp (mle),0.1033542375886731,7,5,250,3
cslearn+grasp (mle),0.039442103294262,8,5,250,3
cslearn+grasp (mle),0.1202786987223743,9,5,250,3
cslearn+grasp (mle),0.1496594356855885,10,5,250,3
cslearn+grasp (mle),0.0664804844546109,1,5,1000,3
cslearn+grasp (mle),0.0128193439474751,2,5,1000,3
cslearn+grasp (mle),0.0183591703815969,3,5,1000,3
cslearn+grasp (mle),0.006967343027264,4,5,1000,3
cslearn+grasp (mle),0.0048735377330959,5,5,1000,3
cslearn+grasp (mle),0.0794670881830887,6,5,1000,3
cslearn+grasp (mle),0.0477396631478339,7,5,1000,3
cslearn+grasp (mle),0.0243659790759347,8,5,1000,3
cslearn+grasp (mle),0.0833760113897965,9,5,1000,3
cslearn+grasp (mle),0.0257640944696334,10,5,1000,3
cslearn+grasp (mle),0.2674153769878682,1,7,250,3
cslearn+grasp (mle),0.103064303163341,2,7,250,3
cslearn+grasp (mle),0.1481451577394447,3,7,250,3
cslearn+grasp (mle),0.1462464361412372,4,7,250,3
cslearn+grasp (mle),0.1518759364302475,5,7,250,3
cslearn+grasp (mle),0.218263553738148,6,7,250,3
cslearn+grasp (mle),0.1899990913640676,7,7,250,3
cslearn+grasp (mle),0.1440011804869265,8,7,250,3
cslearn+grasp (mle),0.2503527820294651,9,7,250,3
cslearn+grasp (mle),0.2270367359130599,10,7,250,3
cslearn+grasp (mle),0.0973862770469577,1,7,1000,3
cslearn+grasp (mle),0.0126527748362361,2,7,1000,3
cslearn+grasp (mle),0.0402938124898381,3,7,1000,3
cslearn+grasp (mle),0.0298966995830642,4,7,1000,3
cslearn+grasp (mle),0.0928103311630387,5,7,1000,3
cslearn+grasp (mle),0.0432485783079006,6,7,1000,3
cslearn+grasp (mle),0.1116350362247476,7,7,1000,3
cslearn+grasp (mle),0.0433958438919495,8,7,1000,3
cslearn+grasp (mle),0.0471284788143713,9,7,1000,3
cslearn+grasp (mle),0.0715613306049267,10,7,1000,3
