method,shd,seed,p,n
CSlearn+PC,2,1,5,250
CSlearn+PC,3,2,5,250
CSlearn+PC,4,3,5,250
CSlearn+PC,6,4,5,250
CSlearn+PC,4,5,5,250
CSlearn+PC,5,6,5,250
CSlearn+PC,3,7,5,250
CSlearn+PC,6,8,5,250
CSlearn+PC,1,9,5,250
CSlearn+PC,3,10,5,250
CSlearn+PC,3,1,5,1000
CSlearn+PC,3,2,5,1000
CSlearn+PC,3,3,5,1000
CSlearn+PC,6,4,5,1000
CSlearn+PC,3,5,5,1000
CSlearn+PC,5,6,5,1000
CSlearn+PC,3,7,5,1000
CSlearn+PC,5,8,5,1000
CSlearn+PC,1,9,5,1000
CSlearn+PC,3,10,5,1000
CSlearn+PC,6,1,7,250
CSlearn+PC,7,2,7,250
CSlearn+PC,8,3,7,250
CSlearn+PC,11,4,7,250
CSlearn+PC,8,5,7,250
CSlearn+PC,7,6,7,250
CSlearn+PC,4,7,7,250
CSlearn+PC,11,8,7,250
CSlearn+PC,5,9,7,250
CSlearn+PC,10,10,7,250
CSlearn+PC,7,1,7,1000
CSlearn+PC,7,2,7,1000
CSlearn+PC,10,3,7,1000
CSlearn+PC,11,4,7,1000
CSlearn+PC,7,5,7,1000
CSlearn+PC,6,6,7,1000
CSlearn+PC,4,7,7,1000
CSlearn+PC,9,8,7,1000
CSlearn+PC,5,9,7,1000
CSlearn+PC,9,10,7,1000
CSlearn+PC,11,1,10,250
CSlearn+PC,15,2,10,250
CSlearn+PC,15,3,10,250
CSlearn+PC,19,4,10,250
CSlearn+PC,14,5,10,250
CSlearn+PC,13,6,10,250
CSlearn+PC,16,7,10,250
CSlearn+PC,17,8,10,250
CSlearn+PC,14,9,10,250
CSlearn+PC,16,10,10,250
CSlearn+PC,10,1,10,1000
CSlearn+PC,14,2,10,1000
CSlearn+PC,15,3,10,1000
CSlearn+PC,15,4,10,1000
CSlearn+PC,13,5,10,1000
CSlearn+PC,13,6,10,1000
CSlearn+PC,14,7,10,1000
CSlearn+PC,16,8,10,1000
CSlearn+PC,10,9,10,1000
CSlearn+PC,17,10,10,1000
CSlearn+PC,25,1,15,250
CSlearn+PC,28,2,15,250
CSlearn+PC,26,3,15,250
CSlearn+PC,30,4,15,250
CSlearn+PC,24,5,15,250
CSlearn+PC,26,6,15,250
CSlearn+PC,28,7,15,250
CSlearn+PC,33,8,15,250
CSlearn+PC,25,9,15,250
CSlearn+PC,29,10,15,250
CSlearn+PC,24,1,15,1000
CSlearn+PC,23,2,15,1000
CSlearn+PC,26,3,15,1000
CSlearn+PC,29,4,15,1000
CSlearn+PC,23,5,15,1000
CSlearn+PC,25,6,15,1000
CSlearn+PC,30,7,15,1000
CSlearn+PC,29,8,15,1000
CSlearn+PC,21,9,15,1000
CSlearn+PC,29,10,15,1000
CSlearn+PC,36,1,20,250
CSlearn+PC,42,2,20,250
CSlearn+PC,39,3,20,250
CSlearn+PC,43,4,20,250
CSlearn+PC,38,5,20,250
CSlearn+PC,37,6,20,250
CSlearn+PC,35,7,20,250
CSlearn+PC,45,8,20,250
CSlearn+PC,39,9,20,250
CSlearn+PC,38,10,20,250
CSlearn+PC,38,1,20,1000
CSlearn+PC,37,2,20,1000
CSlearn+PC,39,3,20,1000
CSlearn+PC,41,4,20,1000
CSlearn+PC,35,5,20,1000
CSlearn+PC,36,6,20,1000
CSlearn+PC,36,7,20,1000
CSlearn+PC,38,8,20,1000
CSlearn+PC,41,9,20,1000
CSlearn+PC,35,10,20,1000
PC+DAG,7,1,5,250
PC+DAG,3,2,5,250
PC+DAG,7,3,5,250
PC+DAG,7,4,5,250
PC+DAG,5,5,5,250
PC+DAG,4,6,5,250
PC+DAG,5,7,5,250
PC+DAG,6,8,5,250
PC+DAG,3,9,5,250
PC+DAG,6,10,5,250
PC+DAG,7,1,5,1000
PC+DAG,4,2,5,1000
PC+DAG,7,3,5,1000
PC+DAG,8,4,5,1000
PC+DAG,5,5,5,1000
PC+DAG,4,6,5,1000
PC+DAG,5,7,5,1000
PC+DAG,5,8,5,1000
PC+DAG,5,9,5,1000
PC+DAG,6,10,5,1000
PC+DAG,13,1,7,250
PC+DAG,10,2,7,250
PC+DAG,15,3,7,250
PC+DAG,13,4,7,250
PC+DAG,9,5,7,250
PC+DAG,12,6,7,250
