method,shd,seed,p,n
CSlearn+GRASP,5,1,5,250
CSlearn+GRASP,4,2,5,250
CSlearn+GRASP,5,3,5,250
CSlearn+GRASP,6,4,5,250
CSlearn+GRASP,3,5,5,250
CSlearn+GRASP,4,6,5,250
CSlearn+GRASP,4,7,5,250
CSlearn+GRASP,6,8,5,250
CSlearn+GRASP,2,9,5,250
CSlearn+GRASP,3,10,5,250
CSlearn+GRASP,3,1,5,1000
CSlearn+GRASP,3,2,5,1000
CSlearn+GRASP,6,3,5,1000
CSlearn+GRASP,5,4,5,1000
CSlearn+GRASP,1,5,5,1000
CSlearn+GRASP,4,6,5,1000
CSlearn+GRASP,4,7,5,1000
CSlearn+GRASP,6,8,5,1000
CSlearn+GRASP,2,9,5,1000
CSlearn+GRASP,3,10,5,1000
CSlearn+GRASP,8,1,7,250
CSlearn+GRASP,7,2,7,250
CSlearn+GRASP,10,3,7,250
CSlearn+GRASP,11,4,7,250
CSlearn+GRASP,8,5,7,250
CSlearn+GRASP,5,6,7,250
CSlearn+GRASP,5,7,7,250
CSlearn+GRASP,11,8,7,250
CSlearn+GRASP,6,9,7,250
CSlearn+GRASP,10,10,7,250
CSlearn+GRASP,7,1,7,1000
CSlearn+GRASP,7,2,7,1000
CSlearn+GRASP,9,3,7,1000
CSlearn+GRASP,5,4,7,1000
CSlearn+GRASP,6,5,7,1000
CSlearn+GRASP,5,6,7,1000
CSlearn+GRASP,2,7,7,1000
CSlearn+GRASP,10,8,7,1000
CSlearn+GRASP,5,9,7,1000
CSlearn+GRASP,10,10,7,1000
CSlearn+GRASP,9,1,10,250
CSlearn+GRASP,15,2,10,250
CSlearn+GRASP,16,3,10,250
CSlearn+GRASP,13,4,10,250
CSlearn+GRASP,12,5,10,250
CSlearn+GRASP,11,6,10,250
CSlearn+GRASP,13,7,10,250
CSlearn+GRASP,15,8,10,250
CSlearn+GRASP,15,9,10,250
CSlearn+GRASP,15,10,10,250
CSlearn+GRASP,9,1,10,1000
CSlearn+GRASP,16,2,10,1000
CSlearn+GRASP,12,3,10,1000
CSlearn+GRASP,13,4,10,1000
CSlearn+GRASP,9,5,10,1000
CSlearn+GRASP,6,6,10,1000
CSlearn+GRASP,10,7,10,1000
CSlearn+GRASP,15,8,10,1000
CSlearn+GRASP,13,9,10,1000
CSlearn+GRASP,14,10,10,1000
CSlearn+GRASP,26,1,15,250
CSlearn+GRASP,26,2,15,250
CSlearn+GRASP,28,3,15,250
CSlearn+GRASP,28,4,15,250
CSlearn+GRASP,27,5,15,250
CSlearn+GRASP,22,6,15,250
CSlearn+GRASP,22,7,15,250
CSlearn+GRASP,29,8,15,250
CSlearn+GRASP,22,9,15,250
CSlearn+GRASP,28,10,15,250
CSlearn+GRASP,17,1,15,1000
CSlearn+GRASP,20,2,15,1000
CSlearn+GRASP,19,3,15,1000
CSlearn+GRASP,25,4,15,1000
CSlearn+GRASP,15,5,15,1000
CSlearn+GRASP,16,6,15,1000
CSlearn+GRASP,16,7,15,1000
CSlearn+GRASP,23,8,15,1000
CSlearn+GRASP,20,9,15,1000
CSlearn+GRASP,21,10,15,1000
CSlearn+GRASP,32,1,20,250
CSlearn+GRASP,34,2,20,250
CSlearn+GRASP,35,3,20,250
CSlearn+GRASP,33,4,20,250
CSlearn+GRASP,31,5,20,250
CSlearn+GRASP,33,6,20,250
CSlearn+GRASP,35,7,20,250
CSlearn+GRASP,38,8,20,250
CSlearn+GRASP,32,9,20,250
CSlearn+GRASP,36,10,20,250
CSlearn+GRASP,20,1,20,1000
CSlearn+GRASP,27,2,20,1000
CSlearn+GRASP,27,3,20,1000
CSlearn+GRASP,28,4,20,1000
CSlearn+GRASP,27,5,20,1000
CSlearn+GRASP,17,6,20,1000
CSlearn+GRASP,16,7,20,1000
CSlearn+GRASP,35,8,20,1000
CSlearn+GRASP,28,9,20,1000
CSlearn+GRASP,26,10,20,1000
GRaSP+DAG,5,1,5,250
GRaSP+DAG,3,2,5,250
GRaSP+DAG,8,3,5,250
GRaSP+DAG,7,4,5,250
GRaSP+DAG,4,5,5,250
GRaSP+DAG,5,6,5,250
GRaSP+DAG,4,7,5,250
GRaSP+DAG,6,8,5,250
GRaSP+DAG,2,9,5,250
GRaSP+DAG,6,10,5,250
GRaSP+DAG,7,1,5,1000
GRaSP+DAG,4,2,5,1000
GRaSP+DAG,8,3,5,1000
GRaSP+DAG,7,4,5,1000
GRaSP+DAG,5,5,5,1000
GRaSP+DAG,4,6,5,1000
GRaSP+DAG,5,7,5,1000
GRaSP+DAG,6,8,5,1000
GRaSP+DAG,2,9,5,1000
GRaSP+DAG,6,10,5,1000
GRaSP+DAG,12,1,7,250
GRaSP+DAG,10,2,7,250
GRaSP+DAG,13,3,7,250
GRaSP+DAG,14,4,7,250
GRaSP+DAG,11,5,7,250
GRaSP+DAG,14,6,7,250
GRaSP+DAG,11,7,7,250
GRaSP+DAG,10,8,7,250
GRaSP+DAG,9,9,7,250
GRaSP+DAG,11,10,7,250
GRaSP+DAG,13,1,7,1000
GRaSP+DAG,10,2,7,1000
GRaSP+DAG,14,3,7,1000
GRaSP+DAG,14,4,7,1000
GRaSP+DAG,10,5,7,1000
GRaSP+DAG,15,6,7,1000
GRaSP+DAG,12,7,7,1000
GRaSP+DAG,13,8,7,1000
GRaSP+DAG,9,9,7,1000
GRaSP+DAG,12,10,7,1000
GRaSP+DAG,21,1,10,250
GRaSP+DAG,17,2,10,250
GRaSP+DAG,21,3,10,250
GRaSP+DAG,23,4,10,250
GRaSP+DAG,17,5,10,250
GRaSP+DAG,27,6,10,250
GRaSP+DAG,23,7,10,250
GRaSP+DAG,20,8,10,250
GRaSP+DAG,21,9,10,250
GRaSP+DAG,18,10,10,250
GRaSP+DAG,23,1,10,1000
GRaSP+DAG,18,2,10,1000
GRaSP+DAG,24,3,10,1000
GRaSP+DAG,23,4,10,1000
GRaSP+DAG,23,5,10,1000
GRaSP+DAG,29,6,10,1000
GRaSP+DAG,22,7,10,1000
GRaSP+DAG,20,8,10,1000
GRaSP+DAG,19,9,10,1000
GRaSP+DAG,18,10,10,1000
GRaSP+DAG,36,1,15,250
GRaSP+DAG,36,2,15,250
GRaSP+DAG,37,3,15,250
GRaSP+DAG,37,4,15,250
GRaSP+DAG,40,5,15,250
GRaSP+DAG,50,6,15,250
GRaSP+DAG,39,7,15,250
GRaSP+DAG,39,8,15,250
GRaSP+DAG,39,9,15,250
GRaSP+DAG,38,10,15,250
GRaSP+DAG,44,1,15,1000
GRaSP+DAG,39,2,15,1000
GRaSP+DAG,38,3,15,1000
GRaSP+DAG,47,4,15,1000
GRaSP+DAG,42,5,15,1000
GRaSP+DAG,50,6,15,1000
GRaSP+DAG,45,7,15,1000
GRaSP+DAG,41,8,15,1000
GRaSP+DAG,41,9,15,1000
GRaSP+DAG,41,10,15,1000
GRaSP+DAG,59,1,20,250
GRaSP+DAG,53,2,20,250
GRaSP+DAG,56,3,20,250
GRaSP+DAG,61,4,20,250
GRaSP+DAG,49,5,20,250
GRaSP+DAG,65,6,20,250
GRaSP+DAG,55,7,20,250
GRaSP+DAG,59,8,20,250
GRaSP+DAG,55,9,20,250
GRaSP+DAG,57,10,20,250
GRaSP+DAG,66,1,20,1000
GRaSP+DAG,56,2,20,1000
GRaSP+DAG,61,3,20,1000
GRaSP+DAG,63,4,20,1000
GRaSP+DAG,56,5,20,1000
GRaSP+DAG,78,6,20,1000
GRaSP+DAG,66,7,20,1000
GRaSP+DAG,61,8,20,1000
GRaSP+DAG,59,9,20,1000
GRaSP+DAG,60,10,20,1000
