method,shd,seed,p,n
CSlearn+GRASP,5,1,5,250
CSlearn+GRASP,4,2,5,250
CSlearn+GRASP,5,3,5,250
CSlearn+GRASP,6,4,5,250
CSlearn+GRASP,3,5,5,250
CSlearn+GRASP,4,6,5,250
CSlearn+GRASP,4,7,5,250
CSlearn+GRASP,6,8,5,250
CSlearn+GRASP,2,9,5,250
CSlearn+GRASP,3,10,5,250
CSlearn+GRASP,3,1,5,1000
CSlearn+GRASP,3,2,5,1000
CSlearn+GRASP,6,3,5,1000
CSlearn+GRASP,5,4,5,1000
CSlearn+GRASP,1,5,5,1000
CSlearn+GRASP,4,6,5,1000
CSlearn+GRASP,4,7,5,1000
CSlearn+GRASP,6,8,5,1000
CSlearn+GRASP,2,9,5,1000
CSlearn+GRASP,3,10,5,1000
CSlearn+GRASP,8,1,7,250
CSlearn+GRASP,7,2,7,250
CSlearn+GRASP,10,3,7,250
CSlearn+GRASP,11,4,7,250
CSlearn+GRASP,8,5,7,250
CSlearn+GRASP,5,6,7,250
CSlearn+GRASP,5,7,7,250
CSlearn+GRASP,11,8,7,250
CSlearn+GRASP,6,9,7,250
CSlearn+GRASP,10,10,7,250
CSlearn+GRASP,7,1,7,1000
CSlearn+GRASP,7,2,7,1000
CSlearn+GRASP,9,3,7,1000
CSlearn+GRASP,5,4,7,1000
CSlearn+GRASP,6,5,7,1000
CSlearn+GRASP,5,6,7,1000
CSlearn+GRASP,2,7,7,1000
CSlearn+GRASP,10,8,7,1000
CSlearn+GRASP,5,9,7,1000
CSlearn+GRASP,10,10,7,1000
CSlearn+GRASP,9,1,10,250
CSlearn+GRASP,15,2,10,250
CSlearn+GRASP,16,3,10,250
CSlearn+GRASP,13,4,10,250
CSlearn+GRASP,12,5,10,250
CSlearn+GRASP,11,6,10,250
CSlearn+GRASP,13,7,10,250
CSlearn+GRASP,15,8,10,250
CSlearn+GRASP,15,9,10,250
CSlearn+GRASP,15,10,10,250
CSlearn+GRASP,9,1,10,1000
CSlearn+GRASP,16,2,10,1000
CSlearn+GRASP,12,3,10,1000
CSlearn+GRASP,13,4,10,1000
CSlearn+GRASP,9,5,10,1000
CSlearn+GRASP,6,6,10,1000
CSlearn+GRASP,10,7,10,1000
CSlearn+GRASP,15,8,10,1000
CSlearn+GRASP,13,9,10,1000
CSlearn+GRASP,14,10,10,1000
CSlearn+GRASP,26,1,15,250
CSlearn+GRASP,26,2,15,250
CSlearn+GRASP,28,3,15,250
CSlearn+GRASP,28,4,15,250
CSlearn+GRASP,27,5,15,250
CSlearn+GRASP,22,6,15,250
CSlearn+GRASP,22,7,15,250
CSlearn+GRASP,29,8,15,250
CSlearn+GRASP,22,9,15,250
CSlearn+GRASP,28,10,15,250
CSlearn+GRASP,17,1,15,1000
CSlearn+GRASP,20,2,15,1000
CSlearn+GRASP,19,3,15,1000
CSlearn+GRASP,25,4,15,1000
CSlearn+GRASP,15,5,15,1000
CSlearn+GRASP,16,6,15,1000
CSlearn+GRASP,16,7,15,1000
CSlearn+GRASP,23,8,15,1000
CSlearn+GRASP,20,9,15,1000
CSlearn+GRASP,21,10,15,1000
CSlearn+GRASP,32,1,20,250
CSlearn+GRASP,34,2,20,250
CSlearn+GRASP,35,3,20,250
CSlearn+GRASP,33,4,20,250
CSlearn+GRASP,31,5,20,250
CSlearn+GRASP,33,6,20,250
CSlearn+GRASP,35,7,20,250
CSlearn+GRASP,38,8,20,250
CSlearn+GRASP,32,9,20,250
CSlearn+GRASP,36,10,20,250
CSlearn+GRASP,20,1,20,1000
CSlearn+GRASP,27,2,20,1000
CSlearn+GRASP,27,3,20,1000
CSlearn+GRASP,28,4,20,1000
CSlearn+GRASP,27,5,20,1000
CSlearn+GRASP,17,6,20,1000
CSlearn+GRASP,16,7,20,1000
CSlearn+GRASP,35,8,20,1000
CSlearn+GRASP,28,9,20,1000
CSlearn+GRASP,26,10,20,1000
BOS,6,1,5,250
BOS,5,2,5,250
BOS,3,3,5,250
BOS,4,4,5,250
BOS,4,5,5,250
BOS,7,6,5,250
BOS,4,7,5,250
BOS,7,8,5,250
BOS,4,9,5,250
BOS,3,10,5,250
BOS,8,1,5,1000
BOS,4,2,5,1000
BOS,4,3,5,1000
BOS,4,4,5,1000
BOS,4,5,5,1000
BOS,7,6,5,1000
BOS,3,7,5,1000
BOS,8,8,5,1000
BOS,6,9,5,1000
BOS,3,10,5,1000
BOS,12,1,7,250
BOS,17,2,7,250
BOS,19,3,7,250
BOS,15,4,7,250
BOS,17,5,7,250
BOS,12,6,7,250
BOS,13,7,7,250
BOS,13,8,7,250
BOS,13,9,7,250
BOS,9,10,7,250
BOS,11,1,7,1000
BOS,13,2,7,1000
BOS,12,3,7,1000
BOS,10,4,7,1000
BOS,13,5,7,1000
BOS,12,6,7,1000
BOS,12,7,7,1000
BOS,13,8,7,1000
BOS,13,9,7,1000
BOS,17,10,7,1000
BOS,37,1,10,250
BOS,35,2,10,250
BOS,38,3,10,250
BOS,42,4,10,250
BOS,36,5,10,250
BOS,33,6,10,250
BOS,32,7,10,250
BOS,34,8,10,250
BOS,32,9,10,250
BOS,37,10,10,250
BOS,31,1,10,1000
BOS,33,2,10,1000
BOS,36,3,10,1000
BOS,34,4,10,1000
BOS,35,5,10,1000
BOS,32,6,10,1000
BOS,34,7,10,1000
BOS,35,8,10,1000
BOS,33,9,10,1000
BOS,35,10,10,1000
GRaSP+BHC,4,1,5,250
GRaSP+BHC,4,2,5,250
GRaSP+BHC,8,3,5,250
GRaSP+BHC,6,4,5,250
GRaSP+BHC,2,5,5,250
GRaSP+BHC,4,6,5,250
GRaSP+BHC,4,7,5,250
GRaSP+BHC,6,8,5,250
GRaSP+BHC,2,9,5,250
GRaSP+BHC,5,10,5,250
GRaSP+BHC,4,1,5,1000
GRaSP+BHC,4,2,5,1000
GRaSP+BHC,8,3,5,1000
GRaSP+BHC,6,4,5,1000
GRaSP+BHC,2,5,5,1000
GRaSP+BHC,4,6,5,1000
GRaSP+BHC,4,7,5,1000
GRaSP+BHC,6,8,5,1000
GRaSP+BHC,2,9,5,1000
GRaSP+BHC,5,10,5,1000
GRaSP+BHC,9,1,7,250
GRaSP+BHC,9,2,7,250
GRaSP+BHC,11,3,7,250
GRaSP+BHC,11,4,7,250
GRaSP+BHC,8,5,7,250
GRaSP+BHC,9,6,7,250
GRaSP+BHC,10,7,7,250
GRaSP+BHC,11,8,7,250
GRaSP+BHC,7,9,7,250
GRaSP+BHC,12,10,7,250
GRaSP+BHC,9,1,7,1000
GRaSP+BHC,9,2,7,1000
GRaSP+BHC,9,3,7,1000
GRaSP+BHC,10,4,7,1000
GRaSP+BHC,7,5,7,1000
GRaSP+BHC,9,6,7,1000
GRaSP+BHC,3,7,7,1000
GRaSP+BHC,11,8,7,1000
GRaSP+BHC,7,9,7,1000
GRaSP+BHC,10,10,7,1000
GRaSP+BHC,14,1,10,250
GRaSP+BHC,17,2,10,250
GRaSP+BHC,17,3,10,250
GRaSP+BHC,13,4,10,250
GRaSP+BHC,13,5,10,250
GRaSP+BHC,18,6,10,250
GRaSP+BHC,13,7,10,250
GRaSP+BHC,19,8,10,250
GRaSP+BHC,16,9,10,250
GRaSP+BHC,17,10,10,250
GRaSP+BHC,13,1,10,1000
GRaSP+BHC,17,2,10,1000
GRaSP+BHC,11,3,10,1000
GRaSP+BHC,13,4,10,1000
GRaSP+BHC,10,5,10,1000
GRaSP+BHC,17,6,10,1000
GRaSP+BHC,11,7,10,1000
GRaSP+BHC,19,8,10,1000
GRaSP+BHC,16,9,10,1000
GRaSP+BHC,16,10,10,1000
GRaSP+BHC,30,1,15,250
GRaSP+BHC,30,2,15,250
GRaSP+BHC,28,3,15,250
GRaSP+BHC,32,4,15,250
GRaSP+BHC,31,5,15,250
