method,shd,seed,p,n
CSlearn+PC,10,1,10,1000
CSlearn+PC,14,2,10,1000
CSlearn+PC,15,3,10,1000
CSlearn+PC,15,4,10,1000
CSlearn+PC,13,5,10,1000
CSlearn+PC,13,6,10,1000
CSlearn+PC,14,7,10,1000
CSlearn+PC,16,8,10,1000
CSlearn+PC,10,9,10,1000
CSlearn+PC,17,10,10,1000
CSlearn+PC,44,1,25,1000
CSlearn+PC,43,2,25,1000
CSlearn+PC,49,3,25,1000
CSlearn+PC,53,4,25,1000
CSlearn+PC,46,5,25,1000
CSlearn+PC,50,6,25,1000
CSlearn+PC,51,7,25,1000
CSlearn+PC,51,8,25,1000
CSlearn+PC,53,9,25,1000
CSlearn+PC,51,10,25,1000
CSlearn+PC,111,1,50,1000
CSlearn+PC,108,2,50,1000
CSlearn+PC,110,3,50,1000
CSlearn+PC,110,4,50,1000
CSlearn+PC,106,5,50,1000
CSlearn+PC,115,6,50,1000
CSlearn+PC,96,7,50,1000
CSlearn+PC,114,8,50,1000
CSlearn+PC,106,9,50,1000
CSlearn+PC,105,10,50,1000
CSlearn+PC,230,1,100,1000
CSlearn+PC,231,2,100,1000
CSlearn+PC,220,3,100,1000
CSlearn+PC,244,4,100,1000
CSlearn+PC,234,5,100,1000
CSlearn+PC,224,6,100,1000
CSlearn+PC,223,7,100,1000
CSlearn+PC,244,8,100,1000
CSlearn+PC,229,9,100,1000
CSlearn+PC,229,10,100,1000
CSlearn+PC,603,1,250,1000
CSlearn+PC,575,2,250,1000
CSlearn+PC,580,3,250,1000
CSlearn+PC,597,4,250,1000
CSlearn+PC,611,5,250,1000
CSlearn+PC,578,6,250,1000
CSlearn+PC,593,7,250,1000
CSlearn+PC,596,8,250,1000
CSlearn+PC,571,9,250,1000
CSlearn+PC,579,10,250,1000
CSlearn+PC,1230,1,500,1000
CSlearn+PC,1201,2,500,1000
CSlearn+PC,1199,3,500,1000
CSlearn+PC,1205,4,500,1000
CSlearn+PC,1227,5,500,1000
CSlearn+PC,1211,6,500,1000
CSlearn+PC,1209,7,500,1000
CSlearn+PC,1229,8,500,1000
CSlearn+PC,1181,9,500,1000
CSlearn+PC,1163,10,500,1000
CSlearn+GRASP,9,1,10,1000
CSlearn+GRASP,16,2,10,1000
CSlearn+GRASP,12,3,10,1000
CSlearn+GRASP,13,4,10,1000
CSlearn+GRASP,9,5,10,1000
CSlearn+GRASP,6,6,10,1000
CSlearn+GRASP,10,7,10,1000
CSlearn+GRASP,15,8,10,1000
CSlearn+GRASP,13,9,10,1000
CSlearn+GRASP,14,10,10,1000
CSlearn+GRASP,21,1,25,1000
CSlearn+GRASP,39,2,25,1000
CSlearn+GRASP,23,3,25,1000
CSlearn+GRASP,44,4,25,1000
CSlearn+GRASP,33,5,25,1000
CSlearn+GRASP,31,6,25,1000
CSlearn+GRASP,26,7,25,1000
CSlearn+GRASP,41,8,25,1000
CSlearn+GRASP,38,9,25,1000
CSlearn+GRASP,37,10,25,1000
CSlearn+GRASP,58,1,50,1000
CSlearn+GRASP,86,2,50,1000
CSlearn+GRASP,68,3,50,1000
CSlearn+GRASP,60,4,50,1000
CSlearn+GRASP,70,5,50,1000
CSlearn+GRASP,69,6,50,1000
CSlearn+GRASP,67,7,50,1000
CSlearn+GRASP,74,8,50,1000
CSlearn+GRASP,75,9,50,1000
CSlearn+GRASP,57,10,50,1000
CSlearn+GRASP,143,1,100,1000
CSlearn+GRASP,159,2,100,1000
CSlearn+GRASP,110,3,100,1000
CSlearn+GRASP,128,4,100,1000
CSlearn+GRASP,148,5,100,1000
CSlearn+GRASP,121,6,100,1000
CSlearn+GRASP,95,7,100,1000
CSlearn+GRASP,159,8,100,1000
CSlearn+GRASP,140,9,100,1000
CSlearn+GRASP,129,10,100,1000
CSlearn+GRASP,331,1,250,1000
CSlearn+GRASP,324,2,250,1000
CSlearn+GRASP,305,3,250,1000
CSlearn+GRASP,317,4,250,1000
CSlearn+GRASP,325,5,250,1000
CSlearn+GRASP,257,6,250,1000
CSlearn+GRASP,296,7,250,1000
CSlearn+GRASP,308,8,250,1000
CSlearn+GRASP,317,9,250,1000
CSlearn+GRASP,313,10,250,1000
CSlearn+GRASP,605,1,500,1000
CSlearn+GRASP,635,2,500,1000
CSlearn+GRASP,570,3,500,1000
CSlearn+GRASP,611,4,500,1000
CSlearn+GRASP,640,5,500,1000
CSlearn+GRASP,605,6,500,1000
CSlearn+GRASP,542,7,500,1000
CSlearn+GRASP,576,8,500,1000
CSlearn+GRASP,604,9,500,1000
CSlearn+GRASP,625,10,500,1000
GRaSP+BHC,19,1,10,1000
GRaSP+BHC,14,2,10,1000
GRaSP+BHC,16,3,10,1000
GRaSP+BHC,14,4,10,1000
GRaSP+BHC,21,5,10,1000
GRaSP+BHC,16,6,10,1000
GRaSP+BHC,10,7,10,1000
GRaSP+BHC,12,8,10,1000
GRaSP+BHC,10,9,10,1000
GRaSP+BHC,18,10,10,1000
GRaSP+BHC,29,1,25,1000
GRaSP+BHC,33,2,25,1000
GRaSP+BHC,31,3,25,1000
GRaSP+BHC,47,4,25,1000
GRaSP+BHC,35,5,25,1000
GRaSP+BHC,42,6,25,1000
GRaSP+BHC,39,7,25,1000
GRaSP+BHC,30,8,25,1000
GRaSP+BHC,50,9,25,1000
GRaSP+BHC,60,10,25,1000
