method,time,total_time,seed,p,n
CSlearn+PC,0.3470072159998381,0.3544799889996284,1,5,251
CSlearn+PC,1.3330988210000214,1.3598275650001597,2,5,251
CSlearn+PC,1.696078494998801,1.7506596579987672,3,5,251
CSlearn+PC,1.5317485989999111,1.606764732000556,4,5,251
CSlearn+PC,1.6571927609998056,1.764607120999699,5,5,251
CSlearn+PC,0.7732615310000028,0.8003311709966282,6,5,251
CSlearn+PC,1.5054197159997784,1.536602844999834,7,5,251
CSlearn+PC,1.3866970130000027,1.433565109,8,5,251
CSlearn+PC,0.7824099559993556,0.8119231399994078,9,5,251
CSlearn+PC,1.5487385440001162,1.6699315620001016,10,5,251
CSlearn+PC,0.2386150099991937,0.2536207209996064,1,5,1001
CSlearn+PC,1.4598691489954945,1.501568027993926,2,5,1001
CSlearn+PC,1.486962295000012,1.5495247280000513,3,5,1001
CSlearn+PC,1.6924022409993995,1.731642111999463,4,5,1001
CSlearn+PC,1.5679946220000147,1.6585561370000337,5,5,1001
CSlearn+PC,0.9833717559999968,1.0301800439999624,6,5,1001
CSlearn+PC,0.91577915400012,0.9726839479999398,7,5,1001
CSlearn+PC,4.265466949999791,4.306817776999196,8,5,1001
CSlearn+PC,0.8887664129997574,0.9618758980004714,9,5,1001
CSlearn+PC,1.705828152999857,1.7568802519997464,10,5,1001
CSlearn+PC,1.5508805029967334,1.5913382279941288,1,7,251
CSlearn+PC,0.8746374449983705,0.9101452949980738,2,7,251
CSlearn+PC,0.9612621480000598,1.0533566410003914,3,7,251
CSlearn+PC,2.243889520999801,2.362795138999786,4,7,251
CSlearn+PC,1.616658771000175,1.7032003260001147,5,7,251
CSlearn+PC,1.575521335000019,1.701378713996462,6,7,251
CSlearn+PC,1.7290106219998052,1.789433994999854,7,7,251
CSlearn+PC,1.6870717290003086,1.7510770360022434,8,7,251
CSlearn+PC,1.4452166159999251,1.584589111999776,9,7,251
CSlearn+PC,1.7554313900000125,1.831209412000021,10,7,251
CSlearn+PC,1.2025979489990275,1.2699595060003046,1,7,1001
CSlearn+PC,1.5490221560030475,1.6080402950028654,2,7,1001
CSlearn+PC,1.3113569670022116,1.4176546670059906,3,7,1001
CSlearn+PC,1.671952345000136,1.902653497000301,4,7,1001
CSlearn+PC,1.7137619139994058,1.7957319539993932,5,7,1001
CSlearn+PC,1.6321047710000585,1.7537868810002235,6,7,1001
CSlearn+PC,1.6847188300002929,1.7819813079972848,7,7,1001
CSlearn+PC,1.0895110359997489,1.1508437169997592,8,7,1001
CSlearn+PC,1.0318471810001029,1.099300729999868,9,7,1001
CSlearn+PC,1.7670320849997552,1.8727258079998137,10,7,1001
CSlearn+PC,1.529839565002476,1.6592823530008902,1,10,251
CSlearn+PC,1.3542750980050189,1.434572534002655,2,10,251
CSlearn+PC,2.229223464000029,2.4578083400002697,3,10,251
CSlearn+PC,1.7291118379998809,2.0413375799998903,4,10,251
CSlearn+PC,2.276979309999888,2.420744525999908,5,10,251
CSlearn+PC,1.0956699780000037,1.3498305719986805,6,10,251
CSlearn+PC,2.757996875000572,2.8760328730004403,7,10,251
CSlearn+PC,1.450301606000039,1.5423827200022515,8,10,251
CSlearn+PC,1.7575424620008562,1.838302224001381,9,10,251
CSlearn+PC,1.1764818659999037,1.2820637170000282,10,10,251
CSlearn+PC,1.905352688998392,2.0387153570009104,1,10,1001
CSlearn+PC,1.906640471999708,2.0788289070005703,2,10,1001
CSlearn+PC,1.6488114300000234,2.026421042999573,3,10,1001
CSlearn+PC,1.7515120870002647,2.044760589000361,4,10,1001
CSlearn+PC,2.272853384999962,2.556514849999985,5,10,1001
CSlearn+PC,2.14264332699986,2.38303878799988,6,10,1001
CSlearn+PC,1.7518210880007246,2.133150407000357,7,10,1001
CSlearn+PC,3.260361210006522,3.3908063060080167,8,10,1001
CSlearn+PC,2.169989151000209,2.2938457730001574,9,10,1001
CSlearn+PC,1.97199670100008,2.1820339800010515,10,10,1001
CSlearn+PC,1.7213054050007486,1.963133950997872,1,15,251
CSlearn+PC,1.6585164110001642,1.8818198629996916,2,15,251
CSlearn+PC,4.583957937000378,4.915683258004719,3,15,251
CSlearn+PC,2.1905081869999776,2.506790031000037,4,15,251
CSlearn+PC,2.556422659999953,2.775051625999936,5,15,251
CSlearn+PC,1.8711615140000504,2.137952065000036,6,15,251
CSlearn+PC,3.412516229000176,3.752066649000199,7,15,251
CSlearn+PC,1.6275171140000566,1.745506339997064,8,15,251
CSlearn+PC,2.7970722079999177,3.100247156000023,9,15,251
CSlearn+PC,3.1326533619994734,3.2756076919995394,10,15,251
CSlearn+PC,2.171841723000398,2.7297932080036844,1,15,1001
CSlearn+PC,2.125037602003431,2.917453899004613,2,15,1001
CSlearn+PC,2.4320848329998626,2.7666431779998675,3,15,1001
CSlearn+PC,2.86409895900033,3.312487644000612,4,15,1001
CSlearn+PC,3.423726640000041,3.79000606800264,5,15,1001
CSlearn+PC,3.708720612000434,4.971122161000494,6,15,1001
CSlearn+PC,2.8553611359966453,3.1780361589917447,7,15,1001
CSlearn+PC,3.1983108360000188,3.4618917719999445,8,15,1001
CSlearn+PC,3.090376784,3.3884102070001063,9,15,1001
CSlearn+PC,2.9317903639994256,3.2629417669995746,10,15,1001
CSlearn+PC,2.308205187960993,2.623993290006182,1,20,251
CSlearn+PC,2.1542317099520005,2.539860922959633,2,20,251
CSlearn+PC,2.0760363680310547,2.4661287560593337,3,20,251
CSlearn+PC,2.263741504983045,2.591702681966126,4,20,251
CSlearn+PC,2.29971149697667,2.7101312250015326,5,20,251
CSlearn+PC,2.3201143839978613,2.9122995569487102,6,20,251
CSlearn+PC,2.418561522033997,2.770809022011236,7,20,251
CSlearn+PC,2.261683990014717,2.5599311579717323,8,20,251
CSlearn+PC,2.1888286269968376,2.439770157041494,9,20,251
CSlearn+PC,1.982247504987754,2.340243019978516,10,20,251
CSlearn+PC,2.337630052003078,3.057731261011213,1,20,1001
CSlearn+PC,2.2923193880124018,2.9202632139786147,2,20,1001
CSlearn+PC,2.625170987041201,3.4143141780514266,3,20,1001
CSlearn+PC,2.361722544010263,3.05767598899547,4,20,1001
CSlearn+PC,2.2178970320383087,2.862304540059995,5,20,1001
CSlearn+PC,3.4446150370058604,5.255832444992849,6,20,1001
CSlearn+PC,2.282481000991538,2.892448994971346,7,20,1001
CSlearn+PC,2.263206942996476,2.762118812999688,8,20,1001
CSlearn+PC,2.340599216055125,2.7366646710434,9,20,1001
CSlearn+PC,2.1086356550222263,2.606962269055657,10,20,1001
CSlearn+GRaSP,0.4552805539933615,0.5100246269930722,1,5,251
CSlearn+GRaSP,1.3492480640052236,1.6718214090033143,2,5,251
CSlearn+GRaSP,1.6100279300003422,2.023095889998785,3,5,251
CSlearn+GRaSP,1.380348767000214,1.550929377000102,4,5,251
CSlearn+GRaSP,1.4956715099997382,1.8587517299997671,5,5,251
