method,time,total_time,seed,p,n
CSlearn+PC,1.905352688998392,2.0387153570009104,1,10,1001
CSlearn+PC,1.906640471999708,2.0788289070005703,2,10,1001
CSlearn+PC,1.6488114300000234,2.026421042999573,3,10,1001
CSlearn+PC,1.7515120870002647,2.044760589000361,4,10,1001
CSlearn+PC,2.272853384999962,2.556514849999985,5,10,1001
CSlearn+PC,2.14264332699986,2.38303878799988,6,10,1001
CSlearn+PC,1.7518210880007246,2.133150407000357,7,10,1001
CSlearn+PC,3.260361210006522,3.3908063060080167,8,10,1001
CSlearn+PC,2.169989151000209,2.2938457730001574,9,10,1001
CSlearn+PC,1.97199670100008,2.1820339800010515,10,10,1001
CSlearn+PC,4.427886863995809,6.93232822099526,1,25,1001
CSlearn+PC,4.757643684999493,7.190405599998485,2,25,1001
CSlearn+PC,4.89724736900007,7.696841774999939,3,25,1001
CSlearn+PC,4.931818210000074,6.698999868000101,4,25,1001
CSlearn+PC,5.383956962999946,8.021098028999859,5,25,1001
CSlearn+PC,6.381482009999672,12.64382587,6,25,1001
CSlearn+PC,5.733756122999694,6.624536942999839,7,25,1001
CSlearn+PC,4.173340657999916,5.778439017999745,8,25,1001
CSlearn+PC,6.4226380340001015,9.438946867000029,9,25,1001
CSlearn+PC,4.540293417000612,6.4037478070004,10,25,1001
CSlearn+PC,10.50894314100151,20.730841766002413,1,50,1001
CSlearn+PC,10.095970212001705,14.494525131001868,2,50,1001
CSlearn+PC,18.83837734400004,39.97192136600006,3,50,1001
CSlearn+PC,13.32548821399996,24.08649405999768,4,50,1001
CSlearn+PC,9.378490195999802,18.06318065100004,5,50,1001
CSlearn+PC,16.971448749000047,49.12931479100007,6,50,1001
CSlearn+PC,10.727267522000147,22.034517546000643,7,50,1001
CSlearn+PC,11.623002194000035,17.031802922000224,8,50,1001
CSlearn+PC,11.69893682599968,23.01212057099974,9,50,1001
CSlearn+PC,12.020749060000526,21.64858903800064,10,50,1001
CSlearn+PC,32.26177130900032,86.9192165659988,1,100,1001
CSlearn+PC,10.728397783997934,47.979783502996725,2,100,1001
CSlearn+PC,37.538009868000245,103.93458810999982,3,100,1001
CSlearn+PC,42.82725058900019,95.86656750300084,4,100,1001
CSlearn+PC,35.94159973000001,87.15633825099735,5,100,1001
CSlearn+PC,37.40392735899991,124.19263873199986,6,100,1001
CSlearn+PC,40.92859161199976,119.15942751700004,7,100,1001
CSlearn+PC,39.47183020400007,78.87309705400003,8,100,1001
CSlearn+PC,36.93252284899995,85.40795960899982,9,100,1001
CSlearn+PC,33.90999030900002,100.430980696,10,100,1001
CSlearn+PC,62.59513107800012,683.1597046770003,1,250,1001
CSlearn+PC,56.34627973900206,646.8227965570004,2,250,1001
CSlearn+PC,179.37053039500006,836.9073734259973,3,250,1001
CSlearn+PC,164.24591742700022,748.1760430350001,4,250,1001
CSlearn+PC,178.09542544499993,822.6849409829985,5,250,1001
CSlearn+PC,164.82000213100036,997.5960681420006,6,250,1001
CSlearn+PC,168.99842760899992,869.953374923,7,250,1001
CSlearn+PC,195.02630031499984,824.5632420269999,8,250,1001
CSlearn+PC,171.86176595400002,815.6719242500008,9,250,1001
CSlearn+PC,173.5760094389998,864.1583551449999,10,250,1001
CSlearn+PC,440.585136229005,6018.920347105006,1,500,1001
CSlearn+PC,305.09156454197364,5612.797310683003,2,500,1001
CSlearn+PC,465.0774968429978,6263.056309221996,3,500,1001
CSlearn+PC,273.589233295992,5559.842627307982,4,500,1001
CSlearn+PC,290.4593398610013,5638.610506385972,5,500,1001
CSlearn+PC,388.0872952219797,4750.356716834009,6,500,1001
CSlearn+PC,338.5524547719979,5325.953025594994,7,500,1001
CSlearn+PC,315.57858012098586,4800.151980365976,8,500,1001
CSlearn+PC,290.37221900199074,5485.411981997022,9,500,1001
